Type,OID,OID (bin),POS (BIN),POS,Diff
O,4716,0001001001101100,0000000000000000,0,4716
O,4717,0001001001101101,0000000000000001,1,4716
O,4718,0001001001101110,0000000000000010,2,4716
O,4719,0001001001101111,0000000000000011,3,4716
M,0,0000000000000000,0000000000000100,4,-4
M,1,0000000000000001,0000000000000101,5,-4
M,2,0000000000000010,0000000000000110,6,-4
M,3,0000000000000011,0000000000000111,7,-4
O,4720,0001001001110000,0000000000001000,8,4712
O,4721,0001001001110001,0000000000001001,9,4712
O,4722,0001001001110010,0000000000001010,10,4712
O,4723,0001001001110011,0000000000001011,11,4712
M,4,0000000000000100,0000000000001100,12,-8
O,4724,0001001001110100,0000000000001101,13,4711
O,4725,0001001001110101,0000000000001110,14,4711
M,5,0000000000000101,0000000000001111,15,-10
O,4726,0001001001110110,0000000000010000,16,4710
O,4727,0001001001110111,0000000000010001,17,4710
O,4728,0001001001111000,0000000000010010,18,4710
O,4729,0001001001111001,0000000000010011,19,4710
M,6,0000000000000110,0000000000010100,20,-14
M,7,0000000000000111,0000000000010101,21,-14
M,8,0000000000001000,0000000000010110,22,-14
M,9,0000000000001001,0000000000010111,23,-14
O,4730,0001001001111010,0000000000011000,24,4706
O,4731,0001001001111011,0000000000011001,25,4706
O,4732,0001001001111100,0000000000011010,26,4706
O,4733,0001001001111101,0000000000011011,27,4706
M,10,0000000000001010,0000000000011100,28,-18
O,4734,0001001001111110,0000000000011101,29,4705
O,4735,0001001001111111,0000000000011110,30,4705
O,4736,0001001010000000,0000000000011111,31,4705
O,4737,0001001010000001,0000000000100000,32,4705
O,4738,0001001010000010,0000000000100001,33,4705
O,4739,0001001010000011,0000000000100010,34,4705
O,4740,0001001010000100,0000000000100011,35,4705
M,11,0000000000001011,0000000000100100,36,-25
M,12,0000000000001100,0000000000100101,37,-25
M,13,0000000000001101,0000000000100110,38,-25
M,14,0000000000001110,0000000000100111,39,-25
O,4741,0001001010000101,0000000000101000,40,4701
O,4742,0001001010000110,0000000000101001,41,4701
O,4743,0001001010000111,0000000000101010,42,4701
O,4744,0001001010001000,0000000000101011,43,4701
O,4745,0001001010001001,0000000000101100,44,4701
O,4746,0001001010001010,0000000000101101,45,4701
O,4747,0001001010001011,0000000000101110,46,4701
O,4748,0001001010001100,0000000000101111,47,4701
O,4749,0001001010001101,0000000000110000,48,4701
O,4750,0001001010001110,0000000000110001,49,4701
O,4751,0001001010001111,0000000000110010,50,4701
O,4752,0001001010010000,0000000000110011,51,4701
O,4753,0001001010010001,0000000000110100,52,4701
O,4754,0001001010010010,0000000000110101,53,4701
O,4755,0001001010010011,0000000000110110,54,4701
O,4756,0001001010010100,0000000000110111,55,4701
O,4757,0001001010010101,0000000000111000,56,4701
